,persnr,openness,conscientiousness,extraversion,agreeableness,schooling_years,fluency,symbol,neuroticism,experience,experience_squared,log_wages,occupation
31,18802,-1.051942729661838,0.9192654589545617,0.21622041373910564,0.08938419679884146,11.5,0.30668477122565646,0.800297654245605,0.6061073272928559,36.5,1332.25,2.941111189073766,3
32,18802,-1.051942729661838,0.9192654589545617,0.21622041373910564,-0.3399718433513138,11.5,-0.7284641204225059,-1.6581868492077934,-0.573647562155991,36.5,1332.25,2.941111189073766,3
33,18802,-1.051942729661838,0.9192654589545617,0.21622041373910564,-0.40130842051562177,11.5,-0.8763425335151005,0.4161594505810114,0.4217706258164738,36.5,1332.25,2.941111189073766,3
57,22303,0.4662002529125057,-1.9364811406011464,-1.3076763784151975,1.6258193837506205,10.5,0.010927945040467207,-0.505772238214013,0.4592333276255393,7.5,56.25,1.6140782919906025,4
58,22306,0.8457359985560913,-0.4593708304861252,-0.2732495667935877,0.7349286359461152,10.5,-0.1369504680521274,-0.8130828011456878,0.3117639664444346,20.5,420.25,2.3016544275010924,4
59,22306,0.8457359985560913,-0.4593708304861252,-0.2732495667935877,0.9496066560211929,10.5,0.3806239777719537,0.33933180984809275,0.8647740708735823,20.5,420.25,2.3016544275010924,4
66,23702,0.8457359985560913,-0.5578448511604601,-0.08955937538625773,0.2427256397096111,10.5,0.676380803957143,0.4161594505810114,-0.05810015953590958,20.5,420.25,2.6577084462413594,4
85,33302,0.4662002529125057,0.525369376257222,0.18856962093270727,1.5951510951684666,11.5,-0.0630112615058301,-0.5825998789469317,-0.05750479802211959,30.5,930.25,2.972201776143797,2
90,34903,-1.431478475305424,-0.2624227891374553,0.07727170616926463,-0.9548479939164336,12.0,-0.21088967459842473,0.5698147320468488,1.4552468771117955,23.0,529.0,2.898093803990075,2
93,36902,0.8457359985560913,1.5101095830005702,-0.5342415558456056,-0.8321748395878177,10.5,0.08486715158676451,0.4929870913139301,0.9385087514641346,38.5,1482.25,2.540419359718259,2
94,36903,0.08666450726891918,-1.247162995880803,0.07717907369755148,-0.523981574844238,11.5,-1.1720993597002898,-0.8130828011456878,-1.6077191749651008,10.5,110.25,2.9363150168102727,4
97,37502,0.4662002529125057,-0.16394876846312093,0.4106096556293132,-0.2786352661870058,11.5,-0.5805857073299112,-0.27528931601525686,0.5698353485113691,22.5,506.25,3.081040556177948,2
98,37502,0.4662002529125057,-0.16394876846312093,0.4106096556293132,-0.2786352661870058,11.5,-0.5805857073299112,0.8771252949785237,1.1228454529405167,22.5,506.25,3.081040556177948,2
99,37502,0.4662002529125057,-0.16394876846312093,0.4106096556293132,-0.09462553469408246,11.5,-0.1369504680521274,1.1844358579101983,1.2703148141216227,22.5,506.25,3.081040556177948,2
102,40401,-0.6724069840182524,1.214687520977566,0.6173653324932367,1.3030471641769832,11.5,0.23274556467935914,-0.5825998789469317,0.9022367726826478,37.5,1406.25,3.215708021976891,2
103,40401,-0.6724069840182524,1.214687520977566,0.6173653324932367,1.0577008555197525,11.5,-0.35876808769101937,0.4161594505810114,1.3815121965212418,37.5,1406.25,3.215708021976891,2
108,821802,-0.6724069840182524,-0.6563188718347945,1.4111329826038819,-0.570739197178489,16.0,-0.28482888114472205,0.10884888764933663,0.2743012646353691,17.0,289.0,3.479699609817113,1
115,47302,-1.051942729661838,-0.3608968098117908,-0.25069355993141673,-0.8935114167521256,11.5,-0.0630112615058301,-0.42894459748109426,-1.4233824734887186,24.5,600.25,3.1107207102793586,2
116,47302,-1.051942729661838,-0.3608968098117908,-0.25069355993141673,-0.8015065510056637,11.5,0.15880635813306182,0.800297654245605,-0.8335050287642948,24.5,600.25,3.1107207102793586,2
117,47302,-1.051942729661838,-0.3608968098117908,-0.25069355993141673,-0.8015065510056637,11.5,0.15880635813306182,0.800297654245605,-0.8335050287642948,24.5,600.25,3.1107207102793586,2
118,600802,-0.6724069840182524,-0.06547474778878652,0.7720152440184697,-1.58430309931161,10.5,-0.7284641204225059,0.4929870913139301,-0.9809743899454008,25.5,650.25,3.355194028399903,4
119,600802,-0.6724069840182524,-0.06547474778878652,0.7720152440184697,-1.2776202134900705,10.5,0.010927945040467207,0.7234700135126862,-0.8703723690595716,25.5,650.25,3.355194028399903,4
120,600802,-0.6724069840182524,-0.06547474778878652,0.7720152440184697,-0.9096007505042227,10.5,0.898198423596035,1.1076082171772796,-0.6860356675831889,25.5,650.25,3.355194028399903,4
126,51901,1.2252717441996768,-0.16394876846312093,-0.3949223183889117,-0.2172986890226984,13.5,-0.43270729423731663,-0.27528931601525686,-0.38990622219339827,22.5,506.25,2.725341698212271,3
129,1056302,-1.051942729661838,-0.8532669131834644,0.021599590669615077,-2.459104513364018,14.5,-1.8375522186169655,-2.042325052872387,-0.7579842636323731,16.5,272.25,3.552020271396739,1
133,52402,0.08666450726891918,0.4268953555828876,0.2994043733375837,2.28594277772795,9.0,0.6024415974108457,0.6466423727797675,-1.387110494707231,28.0,784.0,2.9924044834613164,3
134,52402,0.08666450726891918,0.4268953555828876,0.2994043733375837,2.1632696233993354,9.0,0.30668477122565646,0.18567652838225532,-1.60831453647889,28.0,784.0,2.9924044834613164,3
135,52402,0.08666450726891918,0.4268953555828876,0.2994043733375837,2.28594277772795,9.0,0.6024415974108457,0.9539529357114424,-1.239641133526126,28.0,784.0,2.9924044834613164,3
139,55003,0.8457359985560913,-0.5578448511604601,-0.8118147573342913,0.5654978592832482,11.5,0.45456318431825105,-0.19846167528233816,-0.3530388818981215,20.5,420.25,2.5869393753531518,4
